original_index,n_counterfactuals,n_unique_counterfactuals,validity,continuous_proximity,categorical_proximity,sparsity,continuous_diversity,categorical_diversity,count_diversity
0,4,4,1.0,-1.6526817483672085,0.65625,0.48214285714285715,1.0737907933843949,0.2708333333333333,0.4880952380952381
1,4,4,1.0,-0.15833333333333333,0.78125,0.8392857142857143,0.31666666666666665,0.16666666666666666,0.16666666666666666
2,4,4,1.0,-0.9998371533097764,0.71875,0.5357142857142857,1.0397690132398754,0.3333333333333333,0.5238095238095237
3,4,4,1.0,-0.24340159617144272,0.84375,0.8392857142857143,0.0,0.1875,0.10714285714285714
4,4,4,1.0,-0.22379876299206655,0.875,0.8571428571428572,0.3343843605132295,0.1875,0.17857142857142852
5,2,2,1.0,-0.25,0.75,0.8214285714285714,0.5,0.25,0.21428571428571427
6,4,4,1.0,-1.5383318284386478,0.65625,0.48214285714285715,0.9386616777883727,0.3541666666666667,0.5476190476190476
7,3,3,1.0,-1.0101986429340675,0.7083333333333334,0.6428571428571429,0.3333333333333333,0.25,0.21428571428571427
8,4,4,1.0,-0.08333333333333333,0.8125,0.8750000000000001,0.16666666666666666,0.25,0.17857142857142858
9,4,4,1.0,-0.2638888888888889,0.75,0.8035714285714285,0.4351851851851852,0.22916666666666666,0.2142857142857143
